Id,cnt
1,69
2,77
3,187
4,133
5,258
6,43
7,138
8,213
9,174
10,351
11,49
12,239
13,104
14,366
15,55
16,163
17,0
18,20
19,117
20,184
21,291
22,197
23,281
24,74
25,342
26,140
27,107
28,295
29,298
30,276
31,208
32,7
33,244
34,265
35,0
36,230
37,154
38,152
39,250
40,375
41,0
42,92
43,336
44,58
45,20
46,103
47,185
48,79
49,189
50,237
51,187
52,276
53,97
54,235
55,267
56,124
57,301
58,213
59,123
60,424
61,235
62,318
63,122
64,75
65,230
66,373
67,279
68,270
69,205
70,182
71,124
72,231
73,307
74,190
75,379
76,329
77,329
78,295
79,109
80,174
81,298
82,130
83,358
84,156
85,349
86,51
87,398
88,171
89,208
90,314
91,57
92,146
93,236
94,169
95,356
96,240
97,132
98,71
99,346
100,95
101,259
102,58
103,234
104,291
105,59
106,131
107,421
108,369
109,133
110,416
111,367
112,174
113,56
114,122
115,263
116,45
117,303
118,162
119,123
120,330
121,243
122,181
123,184
124,339
125,90
126,264
127,203
128,256
129,299
130,147
131,281
132,149
133,314
134,0
135,206
136,91
137,228
138,83
139,0
140,250
141,198
142,154
143,211
144,113
145,125
146,109
147,90
148,194
149,315
150,378
151,232
152,327
153,338
154,209
155,138
156,165
157,103
158,44
159,344
160,277
161,218
162,335
163,172
164,259
165,146
166,183
167,120
168,82
169,360
170,0
171,383
172,305
173,267
174,208
175,280
176,148
177,239
178,240
179,93
180,227
181,189
182,104
183,84
184,253
185,317
186,112
187,323
188,186
189,126
190,361
191,93
192,191
193,177
194,0
195,61
196,180
197,150
198,41
199,215
200,118
201,215
202,352
203,76
204,286
205,65
206,297
207,0
208,138
209,348
210,294
211,273
212,47
213,90
214,207
215,65
216,178
217,85
218,151
219,55
220,120
221,246
222,140
223,259
224,168
225,246
226,72
227,73
228,227
229,120
230,107
231,338
232,171
233,170
234,216
235,203
236,163
237,116
238,177
239,373
240,56
241,44
242,294
243,264
244,267
245,164
246,121
247,230
248,38
249,4
250,394
251,274
252,295
253,59
254,198
255,160
256,234
257,214
258,196
259,205
260,68
261,166
262,77
263,405
264,311
265,219
266,42
267,50
268,0
269,137
270,164
271,0
272,215
273,321
274,141
275,11
276,168
277,208
278,69
279,175
280,152
281,20
282,162
283,225
284,194
285,335
286,110
287,331
288,111
289,0
290,80
291,164
292,312
293,122
294,316
295,107
296,339
297,219
298,25
299,0
300,344
301,234
302,128
303,44
304,250
305,373
306,311
307,198
308,196
309,247
310,56
311,171
312,28
313,304
314,183
315,110
316,423
317,223
318,292
319,80
320,242
321,376
322,106
323,16
324,147
325,213
326,320
327,131
328,213
329,126
330,296
331,58
332,155
333,38
334,386
335,81
336,108
337,340
338,392
339,380
340,102
341,258
342,248
343,154
344,159
345,319
346,95
347,144
348,311
349,245
350,330
351,261
352,204
353,43
354,347
355,245
356,313
357,336
358,166
359,354
360,117
361,181
362,115
363,331
364,391
365,217
366,336
367,162
368,232
369,216
370,171
371,97
372,237
373,54
374,333
375,186
376,156
377,271
378,62
379,174
380,362
381,251
382,187
383,311
384,109
385,241
386,279
387,236
388,225
389,102
390,121
391,132
392,48
393,261
394,220
395,215
396,164
397,79
398,146
399,68
400,109
401,274
402,124
403,229
404,151
405,319
406,344
407,310
408,389
409,242
410,42
411,3
412,284
413,0
414,17
415,302
416,37
417,215
418,85
419,294
420,108
421,196
422,233
423,219
424,207
425,111
426,312
427,304
428,160
429,63
430,344
431,364
432,61
433,195
434,388
435,154
436,97
437,216
438,89
439,123
440,100
441,227
442,185
443,303
444,168
445,324
446,138
447,223
448,320
449,221
450,32
451,279
452,49
453,155
454,64
455,182
456,86
457,146
458,382
459,180
460,23
461,34
462,247
463,120
464,185
465,49
466,131
467,177
468,262
469,48
470,137
471,37
472,304
473,148
474,343
475,60
476,177
477,307
478,319
479,115
480,188
481,212
482,249
483,155
484,8
485,269
486,67
487,95
488,194
489,199
490,75
491,59
492,77
493,254
494,94
495,226
496,211
497,162
498,110
499,244
500,190
501,256
502,230
503,141
504,65
505,198
506,71
507,103
508,153
509,107
510,210
511,330
512,120
513,139
514,306
515,155
516,31
