Id,cnt
1,9
2,180
3,205
4,28
5,117
6,67
7,96
8,152
9,103
10,371
11,0
12,229
13,38
14,279
15,19
16,172
17,6
18,58
19,26
20,143
21,76
22,81
23,264
24,126
25,163
26,7
27,215
28,274
29,215
30,343
31,33
32,43
33,512
34,394
35,0
36,210
37,111
38,249
39,252
40,129
41,19
42,34
43,469
44,5
45,3
46,78
47,160
48,23
49,278
50,167
51,103
52,296
53,7
54,182
55,210
56,125
57,335
58,236
59,270
60,681
61,120
62,256
63,36
64,210
65,152
66,336
67,217
68,177
69,4
70,14
71,25
72,0
73,406
74,18
75,400
76,65
77,431
78,293
79,270
80,5
81,151
82,134
83,558
84,163
85,292
86,10
87,482
88,69
89,234
90,300
91,13
92,19
93,166
94,183
95,265
96,354
97,5
98,115
99,484
100,87
101,280
102,0
103,452
104,419
105,79
106,8
107,300
108,544
109,20
110,337
111,175
112,36
113,61
114,5
115,444
116,17
117,327
118,0
119,67
120,422
121,152
122,142
123,211
124,451
125,10
126,404
127,182
128,536
129,230
130,119
131,254
132,40
133,220
134,22
135,154
136,39
137,170
138,5
139,5
140,269
141,75
142,168
143,83
144,334
145,214
146,256
147,9
148,82
149,62
150,83
151,6
152,276
153,329
154,197
155,188
156,79
157,53
158,355
159,765
160,272
161,117
162,298
163,79
164,136
165,118
166,196
167,27
168,78
169,407
170,0
171,371
172,184
173,203
174,156
175,303
176,232
177,168
178,223
179,6
180,215
181,221
182,0
183,36
184,441
185,241
186,275
187,204
188,204
189,113
190,332
191,12
192,62
193,80
194,15
195,27
196,40
197,394
198,28
199,74
200,87
201,423
202,197
203,14
204,247
205,123
206,242
207,20
208,153
209,527
210,298
211,326
212,0
213,81
214,112
215,120
216,119
217,66
218,66
219,24
220,66
221,205
222,34
223,331
224,226
225,224
226,7
227,4
228,345
229,23
230,0
231,224
232,32
233,134
234,6
235,87
236,150
237,0
238,2
239,255
240,388
241,8
242,278
243,232
244,301
245,4
246,364
247,362
248,36
249,43
250,376
251,351
252,339
253,25
254,1
255,62
256,118
257,143
258,308
259,276
260,57
261,267
262,0
263,590
264,269
265,298
266,55
267,177
268,97
269,77
270,372
271,11
272,92
273,122
274,88
275,0
276,34
277,149
278,0
279,108
280,125
281,7
282,74
283,342
284,527
285,423
286,142
287,382
288,45
289,122
290,287
291,78
292,178
293,450
294,105
295,41
296,205
297,67
298,39
299,1
300,542
301,429
302,0
303,276
304,310
305,357
306,350
307,317
308,13
309,641
310,16
311,114
312,106
313,340
314,162
315,6
316,460
317,594
318,139
319,11
320,261
321,308
322,53
323,7
324,37
325,270
326,194
327,374
328,151
329,8
330,191
331,11
332,57
333,0
334,238
335,53
336,1
337,542
338,603
339,187
340,97
341,240
342,178
343,131
344,58
345,243
346,16
347,129
348,81
349,525
350,665
351,310
352,66
353,8
354,503
355,328
356,340
357,282
358,145
359,598
360,27
361,22
362,18
363,413
364,523
365,618
366,518
367,115
368,132
369,102
370,507
371,56
372,88
373,22
374,483
375,283
376,128
377,138
378,55
379,34
380,388
381,312
382,610
383,258
384,120
385,133
386,144
387,65
388,175
389,13
390,526
391,70
392,49
393,299
394,162
395,211
396,98
397,0
398,30
399,0
400,8
401,120
402,25
403,237
404,104
405,414
406,172
407,113
408,427
409,132
410,40
411,8
412,195
413,91
414,40
415,262
416,68
417,349
418,22
419,166
420,39
421,395
422,117
423,210
424,134
425,63
426,280
427,166
428,32
429,4
430,452
431,422
432,335
433,3
434,106
435,36
436,92
437,301
438,478
439,111
440,192
441,181
442,66
443,212
444,554
445,181
446,32
447,330
448,385
449,213
450,44
451,625
452,0
453,13
454,60
455,44
456,82
457,43
458,235
459,294
460,24
461,38
462,162
463,82
464,137
465,90
466,82
467,114
468,44
469,5
470,28
471,58
472,221
473,197
474,410
475,14
476,141
477,264
478,140
479,106
480,99
481,164
482,195
483,128
484,48
485,88
486,13
487,34
488,52
489,39
490,42
491,46
492,303
493,176
494,307
495,194
496,357
497,35
498,192
499,163
500,30
501,78
502,41
503,178
504,68
505,521
506,5
507,24
508,211
509,15
510,156
511,687
512,330
513,509
514,420
515,104
516,19
517,74
518,7
519,500
520,361
521,0
522,39
523,83
524,198
525,393
526,202
527,8
528,553
529,113
530,87
531,360
532,261
533,364
534,58
535,312
536,148
537,78
538,508
539,676
540,103
541,56
542,57
543,294
544,263
545,43
546,536
547,232
548,26
549,601
550,176
551,0
552,696
553,176
554,105
555,114
556,185
557,15
558,209
559,67
560,719
561,48
562,10
563,381
564,310
565,515
566,32
567,181
568,92
569,153
570,216
571,158
572,43
573,220
574,217
575,291
576,19
577,128
578,324
579,379
580,87
581,78
582,282
583,204
584,93
585,267
586,25
587,198
588,64
589,226
590,40
591,209
592,405
593,97
594,25
595,580
596,297
597,411
598,397
599,105
600,145
601,0
602,142
603,17
604,0
605,118
606,0
607,235
608,0
609,2
610,2
611,338
612,194
613,251
614,408
615,275
616,107
617,174
618,221
619,291
620,250
621,449
622,0
623,511
624,159
625,623
626,314
627,153
628,77
629,271
630,137
631,22
632,223
633,156
634,130
635,116
636,29
637,744
638,23
639,197
640,266
641,123
642,231
643,13
644,53
645,150
646,22
647,292
648,377
649,105
650,241
651,195
652,573
653,123
654,25
655,365
656,88
657,21
658,105
659,267
660,166
661,130
662,187
663,4
664,23
665,135
666,96
667,34
668,193
669,411
670,221
671,170
672,2
673,278
674,0
675,204
676,64
677,9
678,165
679,382
680,28
681,45
682,114
683,267
684,43
685,193
686,209
687,107
688,578
689,500
690,9
691,4
692,438
693,47
694,134
695,0
696,583
697,140
698,182
699,188
700,30
701,239
702,106
703,77
704,304
705,179
706,230
707,25
708,160
709,157
710,12
711,103
712,53
713,35
714,267
715,122
716,461
717,26
718,287
719,229
720,7
721,13
722,269
723,530
724,390
725,274
726,124
727,159
728,463
729,161
730,23
731,433
732,3
733,20
734,77
735,242
736,92
737,0
738,381
739,49
740,172
741,323
742,610
743,91
744,22
745,507
746,249
747,3
748,90
749,0
750,21
751,6
752,456
753,344
754,98
755,65
756,398
757,69
758,82
759,529
760,88
761,22
762,48
763,116
764,18
765,32
766,34
767,37
768,137
769,346
770,286
771,700
772,540
773,716
774,113
775,128
776,260
777,292
778,101
779,256
780,217
781,240
782,87
783,17
784,27
785,50
786,71
787,204
788,95
789,348
790,349
791,67
792,667
793,57
794,138
795,199
796,138
797,65
798,65
799,395
800,213
801,476
802,159
803,165
804,98
805,138
806,283
807,491
808,77
809,15
810,0
811,3
812,245
813,148
814,358
815,432
816,317
817,184
818,314
819,147
820,141
821,143
